Organization (Aggregated),Enabled Users,% Active Users,Average Copilot Actions,Avg Active Days,% Power Users,Date
Adventure Works,254,78.7%,10.5,2.8,,2025-04-20 00:00:00
Adventure Works,255,61.5%,16.3,2.9,,2025-04-27 00:00:00
Adventure Works,256,72.5%,13.8,2.7,,2025-05-04 00:00:00
Adventure Works,258,69.5%,14.8,2.9,,2025-05-11 00:00:00
Adventure Works,259,74.3%,12.3,3.1,,2025-05-18 00:00:00
Adventure Works,260,79.3%,16.5,2.9,,2025-05-25 00:00:00
Adventure Works,262,74.6%,12.2,2.9,,2025-06-01 00:00:00
Adventure Works,263,70.7%,16.7,2.3,,2025-06-08 00:00:00
Adventure Works,264,84.7%,16.3,3.2,10.9%,2025-06-15 00:00:00
Adventure Works,266,71.5%,16.5,2.4,8.5%,2025-06-22 00:00:00
Adventure Works,267,75.5%,15.9,3.4,13.4%,2025-06-29 00:00:00
Adventure Works,268,75.8%,16.5,2.8,8.5%,2025-07-06 00:00:00
Adventure Works,270,86.4%,14.9,3.0,10.5%,2025-07-13 00:00:00
Adventure Works,271,62.1%,14.4,2.9,9.0%,2025-07-20 00:00:00
Adventure Works,272,63.7%,12.0,3.2,9.6%,2025-07-27 00:00:00
Adventure Works,274,83.2%,13.9,2.3,14.3%,2025-08-03 00:00:00
Adventure Works,275,60.1%,18.0,3.2,15.1%,2025-08-10 00:00:00
Adventure Works,276,75.6%,16.5,3.3,9.0%,2025-08-17 00:00:00
Adventure Works,278,86.2%,15.5,2.6,8.5%,2025-08-24 00:00:00
Adventure Works,279,64.9%,16.1,2.9,15.3%,2025-08-31 00:00:00
Adventure Works,280,80.3%,16.5,3.1,13.6%,2025-09-07 00:00:00
Adventure Works,282,64.5%,15.3,2.8,16.5%,2025-09-14 00:00:00
Adventure Works,283,59.2%,16.0,3.1,13.3%,2025-09-21 00:00:00
Adventure Works,284,76.1%,17.0,3.0,15.3%,2025-09-28 00:00:00
Adventure Works,286,70.0%,16.8,2.3,9.7%,2025-10-05 00:00:00
Adventure Works,287,73.2%,17.3,2.6,12.9%,2025-10-12 00:00:00
Adventure Works,288,67.5%,14.2,3.1,15.4%,2025-10-19 00:00:00
Adventure Works,290,68.2%,17.8,2.2,16.3%,2025-10-26 00:00:00
Adventure Works,291,63.4%,14.7,2.7,13.9%,2025-11-02 00:00:00
Adventure Works,292,78.3%,12.4,2.6,9.9%,2025-11-09 00:00:00
Adventure Works,294,84.5%,17.9,2.5,14.9%,2025-11-16 00:00:00
Adventure Works,295,71.6%,13.1,2.9,16.9%,2025-11-23 00:00:00
Adventure Works,296,72.5%,17.7,2.5,11.5%,2025-11-30 00:00:00
Adventure Works,298,78.7%,12.2,3.0,12.8%,2025-12-07 00:00:00
Adventure Works,299,83.2%,13.7,3.0,12.4%,2025-12-14 00:00:00
Adventure Works,300,73.3%,12.4,3.3,16.4%,2025-12-21 00:00:00
Adventure Works,302,60.6%,17.0,3.1,12.5%,2025-12-28 00:00:00
Adventure Works,303,83.7%,16.9,3.3,16.1%,2026-01-04 00:00:00
Adventure Works,304,61.2%,12.6,3.3,16.2%,2026-01-11 00:00:00
Adventure Works,306,74.7%,16.1,2.6,14.9%,2026-01-18 00:00:00
Adventure Works,307,80.4%,14.3,3.2,9.8%,2026-01-25 00:00:00
Adventure Works,308,71.3%,19.4,2.5,12.0%,2026-02-01 00:00:00
Adventure Works,310,69.2%,22.0,2.5,11.2%,2026-02-08 00:00:00
Adventure Works,311,61.6%,12.9,3.2,9.0%,2026-02-15 00:00:00
Adventure Works,312,46.2%,11.1,2.3,10.4%,2026-02-22 00:00:00
Adventure Works,314,64.6%,13.1,2.8,15.5%,2026-03-01 00:00:00
Northwind Traders,251,51.7%,6.8,2.7,,2025-03-30 00:00:00
Northwind Traders,251,55.6%,7.0,2.7,,2025-04-06 00:00:00
Northwind Traders,252,63.1%,13.2,2.5,,2025-04-13 00:00:00
Northwind Traders,253,69.0%,10.8,3.3,,2025-04-20 00:00:00
Northwind Traders,254,66.5%,13.9,2.7,,2025-04-27 00:00:00
Northwind Traders,255,70.5%,14.5,2.4,,2025-05-04 00:00:00
Northwind Traders,256,64.5%,17.0,3.1,,2025-05-11 00:00:00
Northwind Traders,257,75.8%,12.8,2.3,,2025-05-18 00:00:00
Northwind Traders,258,83.5%,15.2,2.8,,2025-05-25 00:00:00
Northwind Traders,259,79.2%,16.4,2.8,,2025-06-01 00:00:00
Northwind Traders,260,81.0%,17.0,3.1,,2025-06-08 00:00:00
Northwind Traders,261,62.8%,16.0,3.1,12.4%,2025-06-15 00:00:00
Northwind Traders,262,77.9%,13.3,2.5,11.0%,2025-06-22 00:00:00
Northwind Traders,263,64.5%,15.5,3.4,13.3%,2025-06-29 00:00:00
Northwind Traders,264,62.8%,15.6,2.4,9.3%,2025-07-06 00:00:00
Northwind Traders,265,74.1%,13.8,2.5,8.5%,2025-07-13 00:00:00
Northwind Traders,266,86.5%,15.2,2.3,17.5%,2025-07-20 00:00:00
Northwind Traders,267,76.8%,16.0,2.9,12.1%,2025-07-27 00:00:00
Northwind Traders,268,75.8%,13.6,2.9,12.6%,2025-08-03 00:00:00
Northwind Traders,269,73.1%,12.7,2.4,8.0%,2025-08-10 00:00:00
Northwind Traders,270,77.8%,12.1,2.4,11.3%,2025-08-17 00:00:00
Northwind Traders,271,81.8%,13.1,2.7,13.8%,2025-08-24 00:00:00
Northwind Traders,272,77.3%,13.2,3.1,14.9%,2025-08-31 00:00:00
Northwind Traders,273,65.6%,14.7,2.2,14.2%,2025-09-07 00:00:00
Northwind Traders,274,77.4%,17.3,3.2,8.5%,2025-09-14 00:00:00
Northwind Traders,275,81.2%,15.6,2.5,12.8%,2025-09-21 00:00:00
Northwind Traders,276,84.6%,17.8,3.2,14.0%,2025-09-28 00:00:00
Northwind Traders,277,80.3%,12.8,2.9,10.0%,2025-10-05 00:00:00
Northwind Traders,278,64.4%,15.1,3.1,18.0%,2025-10-12 00:00:00
Northwind Traders,279,80.7%,16.6,2.5,14.1%,2025-10-19 00:00:00
Northwind Traders,280,84.1%,14.3,3.1,16.8%,2025-10-26 00:00:00
Northwind Traders,281,68.4%,14.1,3.1,10.0%,2025-11-02 00:00:00
Northwind Traders,282,69.0%,12.3,2.3,16.0%,2025-11-09 00:00:00
Northwind Traders,283,79.6%,17.6,2.4,15.4%,2025-11-16 00:00:00
Northwind Traders,284,68.1%,12.3,3.1,10.1%,2025-11-23 00:00:00
Northwind Traders,285,76.0%,16.0,2.7,8.2%,2025-11-30 00:00:00
Northwind Traders,286,65.6%,18.0,2.3,15.7%,2025-12-07 00:00:00
Northwind Traders,287,62.0%,16.3,2.9,8.3%,2025-12-14 00:00:00
Northwind Traders,288,65.5%,15.9,2.8,12.6%,2025-12-21 00:00:00
Northwind Traders,289,59.9%,14.8,2.4,13.6%,2025-12-28 00:00:00
Northwind Traders,290,62.7%,12.8,2.6,8.9%,2026-01-04 00:00:00
Northwind Traders,291,74.9%,17.6,2.6,9.1%,2026-01-11 00:00:00
Northwind Traders,292,72.0%,13.4,3.3,10.6%,2026-01-18 00:00:00
Northwind Traders,293,72.9%,15.5,3.1,13.0%,2026-01-25 00:00:00
Northwind Traders,294,67.6%,22.0,2.5,15.4%,2026-02-01 00:00:00
Northwind Traders,295,77.4%,17.6,3.2,8.3%,2026-02-08 00:00:00
Northwind Traders,296,59.9%,11.7,2.5,10.8%,2026-02-15 00:00:00
Northwind Traders,297,59.8%,12.7,2.9,8.6%,2026-02-22 00:00:00
Northwind Traders,298,62.1%,12.4,2.4,11.0%,2026-03-01 00:00:00
Wide World Importers,246,64.6%,7.2,2.4,,2025-03-30 00:00:00
Wide World Importers,247,58.7%,7.3,3.2,,2025-04-06 00:00:00
Wide World Importers,248,69.8%,13.1,3.1,,2025-04-13 00:00:00
Wide World Importers,249,66.1%,13.6,2.5,,2025-04-20 00:00:00
Wide World Importers,250,58.7%,15.8,2.8,,2025-04-27 00:00:00
Wide World Importers,252,81.4%,15.5,2.7,,2025-05-04 00:00:00
Wide World Importers,253,83.6%,12.3,2.5,,2025-05-11 00:00:00
Wide World Importers,254,73.0%,18.0,2.3,,2025-05-18 00:00:00
Wide World Importers,255,86.0%,14.3,2.6,,2025-05-25 00:00:00
Wide World Importers,257,72.4%,18.0,3.0,,2025-06-01 00:00:00
Wide World Importers,258,71.0%,15.5,2.9,,2025-06-08 00:00:00
Wide World Importers,259,80.1%,16.4,2.3,12.8%,2025-06-15 00:00:00
Wide World Importers,260,72.1%,13.4,2.6,10.8%,2025-06-22 00:00:00
Wide World Importers,261,71.4%,17.3,3.4,11.5%,2025-06-29 00:00:00
Wide World Importers,263,67.5%,15.8,2.7,11.7%,2025-07-06 00:00:00
Wide World Importers,264,85.9%,16.1,3.1,14.9%,2025-07-13 00:00:00
Wide World Importers,265,80.7%,17.7,2.4,14.5%,2025-07-20 00:00:00
Wide World Importers,266,70.6%,16.2,2.3,17.0%,2025-07-27 00:00:00
Wide World Importers,268,77.1%,17.3,2.6,15.3%,2025-08-03 00:00:00
Wide World Importers,269,63.6%,16.5,2.7,11.8%,2025-08-10 00:00:00
Wide World Importers,270,69.5%,17.9,2.8,14.2%,2025-08-17 00:00:00
Wide World Importers,271,71.5%,16.2,3.4,17.9%,2025-08-24 00:00:00
Wide World Importers,273,70.6%,17.9,3.1,14.8%,2025-08-31 00:00:00
Wide World Importers,274,80.0%,13.9,2.6,11.4%,2025-09-07 00:00:00
Wide World Importers,275,65.5%,12.1,2.9,10.9%,2025-09-14 00:00:00
Wide World Importers,276,67.5%,17.0,2.4,8.4%,2025-09-21 00:00:00
Wide World Importers,277,76.5%,13.8,3.4,9.7%,2025-09-28 00:00:00
Wide World Importers,279,75.1%,15.4,2.8,15.6%,2025-10-05 00:00:00
Wide World Importers,280,59.8%,13.1,3.4,17.0%,2025-10-12 00:00:00
Wide World Importers,281,65.6%,16.4,2.8,15.5%,2025-10-19 00:00:00
Wide World Importers,282,75.7%,12.7,2.5,10.1%,2025-10-26 00:00:00
Wide World Importers,284,61.2%,14.6,2.7,9.6%,2025-11-02 00:00:00
Wide World Importers,285,74.9%,13.6,3.4,14.7%,2025-11-09 00:00:00
Wide World Importers,286,83.6%,16.5,3.0,17.0%,2025-11-16 00:00:00
Wide World Importers,287,67.0%,17.5,2.5,12.2%,2025-11-23 00:00:00
Wide World Importers,289,62.9%,17.7,2.2,13.5%,2025-11-30 00:00:00
Wide World Importers,290,76.4%,17.9,3.1,13.0%,2025-12-07 00:00:00
Wide World Importers,291,80.2%,15.8,2.6,17.3%,2025-12-14 00:00:00
Wide World Importers,292,62.4%,13.6,3.3,9.8%,2025-12-21 00:00:00
Wide World Importers,293,74.2%,13.5,2.6,14.4%,2025-12-28 00:00:00
Wide World Importers,295,79.3%,12.8,2.6,9.2%,2026-01-04 00:00:00
Wide World Importers,296,80.8%,14.8,3.1,14.4%,2026-01-11 00:00:00
Wide World Importers,297,71.8%,15.6,2.2,15.2%,2026-01-18 00:00:00
Wide World Importers,298,65.4%,12.4,3.4,12.4%,2026-01-25 00:00:00
Wide World Importers,300,64.8%,20.8,3.2,9.3%,2026-02-01 00:00:00
Wide World Importers,301,67.5%,19.4,3.1,15.0%,2026-02-08 00:00:00
Wide World Importers,302,60.0%,13.8,3.0,9.4%,2026-02-15 00:00:00
Wide World Importers,303,54.9%,12.1,3.3,13.3%,2026-02-22 00:00:00
Wide World Importers,305,63.6%,13.5,2.3,14.2%,2026-03-01 00:00:00
Tailspin Toys,174,56.4%,6.5,3.0,,2025-03-30 00:00:00
Tailspin Toys,175,58.2%,6.8,3.0,,2025-04-06 00:00:00
Tailspin Toys,176,85.2%,12.2,2.6,,2025-04-13 00:00:00
Tailspin Toys,177,85.7%,13.2,2.7,,2025-04-20 00:00:00
Tailspin Toys,178,61.8%,16.5,2.5,,2025-04-27 00:00:00
Tailspin Toys,179,68.0%,16.7,2.6,,2025-05-04 00:00:00
Tailspin Toys,180,72.3%,17.7,2.4,,2025-05-11 00:00:00
Tailspin Toys,181,80.1%,16.4,3.3,,2025-05-18 00:00:00
Tailspin Toys,182,60.1%,13.2,2.4,,2025-05-25 00:00:00
Tailspin Toys,183,77.0%,15.2,2.4,,2025-06-01 00:00:00
Tailspin Toys,184,71.2%,16.3,2.6,,2025-06-08 00:00:00
Tailspin Toys,185,62.5%,13.5,2.2,12.6%,2025-06-15 00:00:00
Tailspin Toys,186,77.4%,16.4,2.2,12.0%,2025-06-22 00:00:00
Tailspin Toys,187,71.1%,15.9,2.5,13.7%,2025-06-29 00:00:00
Tailspin Toys,188,81.8%,15.8,2.9,17.9%,2025-07-06 00:00:00
Tailspin Toys,189,81.6%,17.8,3.2,12.0%,2025-07-13 00:00:00
Tailspin Toys,190,67.3%,16.9,2.3,11.3%,2025-07-20 00:00:00
Tailspin Toys,191,85.8%,13.2,2.9,11.4%,2025-07-27 00:00:00
Tailspin Toys,192,77.8%,15.9,3.0,17.9%,2025-08-03 00:00:00
Tailspin Toys,193,64.4%,13.7,2.2,8.6%,2025-08-10 00:00:00
Tailspin Toys,194,58.8%,15.5,2.3,12.3%,2025-08-17 00:00:00
Tailspin Toys,195,80.1%,14.2,3.1,17.0%,2025-08-24 00:00:00
Tailspin Toys,196,82.2%,16.5,3.1,11.2%,2025-08-31 00:00:00
Tailspin Toys,197,66.3%,12.3,2.2,18.0%,2025-09-07 00:00:00
Tailspin Toys,198,72.5%,14.9,2.4,9.6%,2025-09-14 00:00:00
Tailspin Toys,199,71.9%,17.2,2.3,11.5%,2025-09-21 00:00:00
Tailspin Toys,200,79.4%,17.4,2.7,14.7%,2025-09-28 00:00:00
Tailspin Toys,201,81.7%,12.7,2.3,9.2%,2025-10-05 00:00:00
Tailspin Toys,202,78.3%,13.1,2.7,8.5%,2025-10-12 00:00:00
Tailspin Toys,203,64.9%,12.1,3.0,16.0%,2025-10-19 00:00:00
Tailspin Toys,204,71.3%,17.5,3.2,14.3%,2025-10-26 00:00:00
Tailspin Toys,205,69.9%,14.0,3.4,17.1%,2025-11-02 00:00:00
Tailspin Toys,206,69.9%,12.6,2.6,11.7%,2025-11-09 00:00:00
Tailspin Toys,207,84.0%,16.0,3.1,12.9%,2025-11-16 00:00:00
Tailspin Toys,208,64.3%,16.6,2.7,12.2%,2025-11-23 00:00:00
Tailspin Toys,209,69.0%,13.2,2.2,11.4%,2025-11-30 00:00:00
Tailspin Toys,210,64.4%,12.4,3.2,12.5%,2025-12-07 00:00:00
Tailspin Toys,211,80.2%,12.4,3.2,10.9%,2025-12-14 00:00:00
Tailspin Toys,212,79.0%,13.9,2.3,8.9%,2025-12-21 00:00:00
Tailspin Toys,213,63.6%,17.1,2.3,16.7%,2025-12-28 00:00:00
Tailspin Toys,214,71.4%,13.9,2.4,10.0%,2026-01-04 00:00:00
Tailspin Toys,215,85.0%,12.3,2.8,14.5%,2026-01-11 00:00:00
Tailspin Toys,216,73.2%,15.7,2.3,9.0%,2026-01-18 00:00:00
Tailspin Toys,217,56.8%,14.1,2.8,9.8%,2026-01-25 00:00:00
Tailspin Toys,218,76.6%,19.2,3.1,18.0%,2026-02-01 00:00:00
Tailspin Toys,219,67.0%,17.8,3.0,12.0%,2026-02-08 00:00:00
Tailspin Toys,220,65.1%,11.0,2.2,13.4%,2026-02-15 00:00:00
Tailspin Toys,221,53.6%,13.1,3.2,15.1%,2026-02-22 00:00:00
Tailspin Toys,222,54.7%,12.3,3.1,14.6%,2026-03-01 00:00:00
Fourth Coffee,264,58.6%,8.2,3.3,,2025-03-30 00:00:00
Fourth Coffee,265,58.8%,8.9,2.4,,2025-04-06 00:00:00
Fourth Coffee,266,79.2%,11.1,3.0,,2025-04-13 00:00:00
Fourth Coffee,267,76.5%,13.2,2.5,,2025-04-20 00:00:00
Fourth Coffee,268,65.9%,12.7,3.3,,2025-04-27 00:00:00
Fourth Coffee,269,60.4%,16.7,2.3,,2025-05-04 00:00:00
Fourth Coffee,271,71.6%,14.0,2.9,,2025-05-11 00:00:00
Fourth Coffee,272,61.3%,13.2,3.1,,2025-05-18 00:00:00
Fourth Coffee,273,79.9%,12.3,2.6,,2025-05-25 00:00:00
Fourth Coffee,274,79.9%,14.1,2.8,,2025-06-01 00:00:00
Fourth Coffee,275,76.5%,17.5,3.3,,2025-06-08 00:00:00
Fourth Coffee,277,80.4%,16.6,3.0,15.9%,2025-06-15 00:00:00
Fourth Coffee,278,70.3%,16.4,2.7,15.8%,2025-06-22 00:00:00
Fourth Coffee,279,72.2%,16.9,3.0,13.9%,2025-06-29 00:00:00
Fourth Coffee,280,73.2%,15.1,2.7,10.4%,2025-07-06 00:00:00
Fourth Coffee,281,74.1%,14.7,2.2,8.3%,2025-07-13 00:00:00
Fourth Coffee,283,86.0%,13.9,3.2,15.0%,2025-07-20 00:00:00
Fourth Coffee,284,62.7%,12.4,2.6,14.0%,2025-07-27 00:00:00
Fourth Coffee,285,81.0%,15.6,3.3,12.1%,2025-08-03 00:00:00
Fourth Coffee,286,77.3%,13.6,3.4,9.1%,2025-08-10 00:00:00
Fourth Coffee,287,76.5%,16.8,2.7,11.2%,2025-08-17 00:00:00
Fourth Coffee,288,68.8%,17.4,3.2,15.6%,2025-08-24 00:00:00
Fourth Coffee,290,69.2%,17.8,2.3,16.2%,2025-08-31 00:00:00
Fourth Coffee,291,74.7%,17.4,3.0,8.2%,2025-09-07 00:00:00
Fourth Coffee,292,86.5%,16.0,2.5,10.7%,2025-09-14 00:00:00
Fourth Coffee,293,65.8%,14.4,2.3,14.2%,2025-09-21 00:00:00
Fourth Coffee,294,79.1%,13.3,3.3,9.4%,2025-09-28 00:00:00
Fourth Coffee,296,70.0%,12.3,3.1,14.2%,2025-10-05 00:00:00
Fourth Coffee,297,77.9%,17.2,3.0,15.4%,2025-10-12 00:00:00
Fourth Coffee,298,73.6%,14.9,2.6,18.0%,2025-10-19 00:00:00
Fourth Coffee,299,64.7%,13.0,2.3,10.7%,2025-10-26 00:00:00
Fourth Coffee,300,81.6%,17.1,2.9,11.5%,2025-11-02 00:00:00
Fourth Coffee,302,69.9%,14.3,3.4,14.3%,2025-11-09 00:00:00
Fourth Coffee,303,58.1%,17.2,2.3,9.3%,2025-11-16 00:00:00
Fourth Coffee,304,73.8%,14.1,2.7,15.8%,2025-11-23 00:00:00
Fourth Coffee,305,78.8%,13.9,2.5,16.3%,2025-11-30 00:00:00
Fourth Coffee,306,68.1%,16.9,2.6,13.5%,2025-12-07 00:00:00
Fourth Coffee,307,67.3%,12.5,2.6,13.9%,2025-12-14 00:00:00
Fourth Coffee,309,77.7%,15.5,2.9,8.3%,2025-12-21 00:00:00
Fourth Coffee,310,84.1%,16.3,3.3,17.6%,2025-12-28 00:00:00
Fourth Coffee,311,63.3%,17.4,2.2,11.9%,2026-01-04 00:00:00
Fourth Coffee,312,66.3%,14.1,2.7,16.4%,2026-01-11 00:00:00
Fourth Coffee,313,79.1%,17.3,2.9,8.9%,2026-01-18 00:00:00
Fourth Coffee,315,75.3%,12.1,2.5,16.7%,2026-01-25 00:00:00
Fourth Coffee,316,71.6%,17.9,2.8,16.8%,2026-02-01 00:00:00
Fourth Coffee,317,61.3%,17.2,2.4,8.3%,2026-02-08 00:00:00
Fourth Coffee,318,54.0%,13.7,2.3,9.5%,2026-02-15 00:00:00
